admin2,indicator,choice,value,context
leraba,critical_handwashing_times,retour_champ,0.5,bfa_2020
loroum,critical_handwashing_times,retour_champ,0.29250216240825894,bfa_2020
mouhoun,critical_handwashing_times,retour_champ,0.47640477929248287,bfa_2020
nahouri,critical_handwashing_times,retour_champ,0.1946796403215249,bfa_2020
namentenga,critical_handwashing_times,retour_champ,0.3589935182056764,bfa_2020
nayala,critical_handwashing_times,retour_champ,0.22690191921326933,bfa_2020
oubritenga,critical_handwashing_times,retour_champ,0.2635293196338318,bfa_2020
oudalan,critical_handwashing_times,retour_champ,0.10434827992367049,bfa_2020
passore,critical_handwashing_times,retour_champ,0.594768084917374,bfa_2020
poni,critical_handwashing_times,retour_champ,0.2896307644209901,bfa_2020
sanguie,critical_handwashing_times,retour_champ,0.21872539180667352,bfa_2020
sanmatenga,critical_handwashing_times,retour_champ,0.18741705084938834,bfa_2020
seno,critical_handwashing_times,retour_champ,0.09064315121296429,bfa_2020
sissili,critical_handwashing_times,retour_champ,0.15723237501432635,bfa_2020
soum,critical_handwashing_times,retour_champ,0.1153721352016691,bfa_2020
sourou,critical_handwashing_times,retour_champ,0.3340868563408418,bfa_2020
tapoa,critical_handwashing_times,retour_champ,0.5000226723542872,bfa_2020
tuy,critical_handwashing_times,retour_champ,0.43402607341181726,bfa_2020
yagha,critical_handwashing_times,retour_champ,0.3166361565558984,bfa_2020
yatenga,critical_handwashing_times,retour_champ,0.31416754756563176,bfa_2020
ziro,critical_handwashing_times,retour_champ,0.28583071041772956,bfa_2020
zondoma,critical_handwashing_times,retour_champ,0.5236009839970185,bfa_2020
zoundweogo,critical_handwashing_times,retour_champ,0.25185726232599726,bfa_2020
bale,critical_handwashing_times,avant_sein,0.0346657812205295,bfa_2020
bam,critical_handwashing_times,avant_sein,0.13510353782527318,bfa_2020
banwa,critical_handwashing_times,avant_sein,0.02545248029500287,bfa_2020
bazega,critical_handwashing_times,avant_sein,0.02957003282261872,bfa_2020
bougouriba,critical_handwashing_times,avant_sein,0.027471914583725048,bfa_2020
boulgou,critical_handwashing_times,avant_sein,0.10248655913912993,bfa_2020
boulkiemde,critical_handwashing_times,avant_sein,0.046434800189854186,bfa_2020
comoe,critical_handwashing_times,avant_sein,0.02105446151216427,bfa_2020
ganzourgou,critical_handwashing_times,avant_sein,0.010281929990542327,bfa_2020
gnagna,critical_handwashing_times,avant_sein,0.14801641426542533,bfa_2020
gourma,critical_handwashing_times,avant_sein,0.11610086140218362,bfa_2020
houet,critical_handwashing_times,avant_sein,0.043056185502857676,bfa_2020
ioba,critical_handwashing_times,avant_sein,0.025012620693394258,bfa_2020
kadiogo,critical_handwashing_times,avant_sein,0.09788480415183094,bfa_2020
kenedougou,critical_handwashing_times,avant_sein,0.10012928871036376,bfa_2020
komonjdjari,critical_handwashing_times,avant_sein,0.08049590058865884,bfa_2020
kompienga,critical_handwashing_times,avant_sein,0.06036900557817001,bfa_2020
kossi,critical_handwashing_times,avant_sein,0.006073543424012818,bfa_2020
koulpelogo,critical_handwashing_times,avant_sein,0.003806866978377169,bfa_2020
kouritenga,critical_handwashing_times,avant_sein,0.03671005262050854,bfa_2020
kourweogo,critical_handwashing_times,avant_sein,0.07714010241912159,bfa_2020
leraba,critical_handwashing_times,avant_sein,0,bfa_2020
loroum,critical_handwashing_times,avant_sein,0.1463378291166849,bfa_2020
mouhoun,critical_handwashing_times,avant_sein,0.014864605011885405,bfa_2020
nahouri,critical_handwashing_times,avant_sein,0.09984473801556756,bfa_2020
namentenga,critical_handwashing_times,avant_sein,0.06785342669037277,bfa_2020
nayala,critical_handwashing_times,avant_sein,0.048890851739016396,bfa_2020
oubritenga,critical_handwashing_times,avant_sein,0.06274185165521717,bfa_2020
oudalan,critical_handwashing_times,avant_sein,0.02783610420464257,bfa_2020
passore,critical_handwashing_times,avant_sein,0.004724015259596833,bfa_2020
poni,critical_handwashing_times,avant_sein,0.02788525655449649,bfa_2020
sanguie,critical_handwashing_times,avant_sein,0,bfa_2020
sanmatenga,critical_handwashing_times,avant_sein,0.1170588972971375,bfa_2020
seno,critical_handwashing_times,avant_sein,0.04442053680118738,bfa_2020
sissili,critical_handwashing_times,avant_sein,0.15723237501432635,bfa_2020
soum,critical_handwashing_times,avant_sein,0.020171694450108725,bfa_2020
sourou,critical_handwashing_times,avant_sein,0.012269153302942842,bfa_2020
tapoa,critical_handwashing_times,avant_sein,0.08363369292513463,bfa_2020
tuy,critical_handwashing_times,avant_sein,0.001039643655242881,bfa_2020
yagha,critical_handwashing_times,avant_sein,0.31662028640821277,bfa_2020
yatenga,critical_handwashing_times,avant_sein,0.058289263264239444,bfa_2020
ziro,critical_handwashing_times,avant_sein,0,bfa_2020
zondoma,critical_handwashing_times,avant_sein,0.03362642163933685,bfa_2020
zoundweogo,critical_handwashing_times,avant_sein,0.028788432353548124,bfa_2020
bale,critical_handwashing_times,apres_netto,0.027728275430521924,bfa_2020
bam,critical_handwashing_times,apres_netto,0.11097126178471595,bfa_2020
banwa,critical_handwashing_times,apres_netto,0.04749342253610546,bfa_2020
bazega,critical_handwashing_times,apres_netto,0,bfa_2020
bougouriba,critical_handwashing_times,apres_netto,0,bfa_2020
boulgou,critical_handwashing_times,apres_netto,0.09568957623227435,bfa_2020
boulkiemde,critical_handwashing_times,apres_netto,0.018556397855656524,bfa_2020
comoe,critical_handwashing_times,apres_netto,0.015345677660698302,bfa_2020
ganzourgou,critical_handwashing_times,apres_netto,0.02219206967755368,bfa_2020
gnagna,critical_handwashing_times,apres_netto,0.19766305285294847,bfa_2020
gourma,critical_handwashing_times,apres_netto,0.16342038799969053,bfa_2020
houet,critical_handwashing_times,apres_netto,0.09432649492503119,bfa_2020
ioba,critical_handwashing_times,apres_netto,0.029171379453432178,bfa_2020
kadiogo,critical_handwashing_times,apres_netto,0.06422313884225574,bfa_2020
kenedougou,critical_handwashing_times,apres_netto,0.07808723098236332,bfa_2020
komonjdjari,critical_handwashing_times,apres_netto,0.0941320803713396,bfa_2020
kompienga,critical_handwashing_times,apres_netto,0.04105954757125721,bfa_2020
kossi,critical_handwashing_times,apres_netto,0.03597063245062376,bfa_2020
koulpelogo,critical_handwashing_times,apres_netto,0.15453780963503336,bfa_2020
kouritenga,critical_handwashing_times,apres_netto,0.02947215257423841,bfa_2020
kourweogo,critical_handwashing_times,apres_netto,0.07714010241912159,bfa_2020
leraba,critical_handwashing_times,apres_netto,0,bfa_2020
loroum,critical_handwashing_times,apres_netto,0.35085919750130706,bfa_2020
mouhoun,critical_handwashing_times,apres_netto,0.05093849217082254,bfa_2020
nahouri,critical_handwashing_times,apres_netto,0.09984473801556756,bfa_2020
namentenga,critical_handwashing_times,apres_netto,0.03282184725641106,bfa_2020
nayala,critical_handwashing_times,apres_netto,0.01945975359428745,bfa_2020
oubritenga,critical_handwashing_times,apres_netto,7.690520934898758e-4,bfa_2020
oudalan,critical_handwashing_times,apres_netto,0.035917589382621004,bfa_2020
passore,critical_handwashing_times,apres_netto,0.023307312992415462,bfa_2020
poni,critical_handwashing_times,apres_netto,0,bfa_2020
sanguie,critical_handwashing_times,apres_netto,0,bfa_2020
sanmatenga,critical_handwashing_times,apres_netto,0.08170159630392135,bfa_2020
seno,critical_handwashing_times,apres_netto,0.032084087682043544,bfa_2020
sissili,critical_handwashing_times,apres_netto,0.15723237501432635,bfa_2020
soum,critical_handwashing_times,apres_netto,0.055179217480216085,bfa_2020
sourou,critical_handwashing_times,apres_netto,0.03453165965136478,bfa_2020
