admin2,indicator,choice,value,context
houet,key_score,4-/-2,0.04977421617943371,bfa_2020
houet,key_score,4-/-3,0.07589961015066482,bfa_2020
houet,key_score,4-/-4,0.05152726679816943,bfa_2020
houet,key_score,5-/-4,2.56957375995917e-4,bfa_2020
ioba,key_score,2-/-2,0.06220133683541903,bfa_2020
ioba,key_score,2-/-4,0.12744937343980017,bfa_2020
ioba,key_score,3-/-1,0.014585689726716089,bfa_2020
ioba,key_score,3-/-2,0.052561601775359,bfa_2020
ioba,key_score,3-/-3,0.037837483785529646,bfa_2020
ioba,key_score,3-/-4,0.3112640505130593,bfa_2020
ioba,key_score,4-/-2,0.070776220691459,bfa_2020
ioba,key_score,4-/-3,0.01042693096667817,bfa_2020
ioba,key_score,4-/-4,0.30247038129930154,bfa_2020
ioba,key_score,5-/-4,0.01042693096667817,bfa_2020
kadiogo,key_score,1-/-1,0.024083677065845903,bfa_2020
kadiogo,key_score,1-/-2,0.10436260061866558,bfa_2020
kadiogo,key_score,1-/-3,0.008027892355281967,bfa_2020
kadiogo,key_score,2-/-1,0.20506169985693395,bfa_2020
kadiogo,key_score,2-/-2,0.3005865788055242,bfa_2020
kadiogo,key_score,2-/-3,0.040139461776409834,bfa_2020
kadiogo,key_score,3-/-1,0.03211156942112787,bfa_2020
kadiogo,key_score,3-/-2,0.11780120370621089,bfa_2020
kadiogo,key_score,3-/-3,0.047012094654007464,bfa_2020
kadiogo,key_score,3-/-4,0.04334859327361028,bfa_2020
kadiogo,key_score,4-/-1,0.022424641457092793,bfa_2020
kadiogo,key_score,4-/-2,0.024083677065845903,bfa_2020
kadiogo,key_score,4-/-4,0.02292841758816156,bfa_2020
kadiogo,key_score,5-/-2,0.008027892355281967,bfa_2020
kenedougou,key_score,2-/-1,0.09208541945283871,bfa_2020
kenedougou,key_score,2-/-2,0.2861927809379105,bfa_2020
kenedougou,key_score,2-/-3,0.11430010910277837,bfa_2020
kenedougou,key_score,2-/-4,3.3859564304866024e-4,bfa_2020
kenedougou,key_score,3-/-1,0.06705694074960886,bfa_2020
kenedougou,key_score,3-/-2,0.1572704523521611,bfa_2020
kenedougou,key_score,3-/-3,0.07628033793492611,bfa_2020
kenedougou,key_score,3-/-4,0.04794906987381275,bfa_2020
kenedougou,key_score,4-/-2,0.06733867158873866,bfa_2020
kenedougou,key_score,4-/-3,0.07808723098236332,bfa_2020
kenedougou,key_score,4-/-4,0.01310039138181298,bfa_2020
komonjdjari,key_score,1-/-1,0.0082559012754023,bfa_2020
komonjdjari,key_score,2-/-1,0.05060722658482433,bfa_2020
komonjdjari,key_score,2-/-2,0.0337181526697713,bfa_2020
komonjdjari,key_score,2-/-3,0.0082559012754023,bfa_2020
komonjdjari,key_score,2-/-4,0.0330236051016092,bfa_2020
komonjdjari,key_score,3-/-1,0.034412700237933413,bfa_2020
komonjdjari,key_score,3-/-2,0.14822815785870683,bfa_2020
komonjdjari,key_score,3-/-3,0.10638058360636751,bfa_2020
komonjdjari,key_score,3-/-4,0.19560398745342936,bfa_2020
komonjdjari,key_score,4-/-1,0.017834413154629268,bfa_2020
komonjdjari,key_score,4-/-2,0.09383740660132306,bfa_2020
komonjdjari,key_score,4-/-3,0.05500366783446228,bfa_2020
komonjdjari,key_score,4-/-4,0.1830954145951441,bfa_2020
