admin2,indicator,choice,value,context,phase
leraba,critical_handwashing_times,retour_champ,0.5,bfa_2020,NA
loroum,critical_handwashing_times,retour_champ,0.29250216240825894,bfa_2020,NA
mouhoun,critical_handwashing_times,retour_champ,0.47640477929248287,bfa_2020,NA
nahouri,critical_handwashing_times,retour_champ,0.1946796403215249,bfa_2020,NA
namentenga,critical_handwashing_times,retour_champ,0.3589935182056764,bfa_2020,NA
nayala,critical_handwashing_times,retour_champ,0.22690191921326933,bfa_2020,NA
oubritenga,critical_handwashing_times,retour_champ,0.2635293196338318,bfa_2020,NA
oudalan,critical_handwashing_times,retour_champ,0.10434827992367049,bfa_2020,NA
passore,critical_handwashing_times,retour_champ,0.594768084917374,bfa_2020,NA
poni,critical_handwashing_times,retour_champ,0.2896307644209901,bfa_2020,NA
sanguie,critical_handwashing_times,retour_champ,0.21872539180667352,bfa_2020,NA
sanmatenga,critical_handwashing_times,retour_champ,0.18741705084938834,bfa_2020,NA
seno,critical_handwashing_times,retour_champ,0.09064315121296429,bfa_2020,NA
sissili,critical_handwashing_times,retour_champ,0.15723237501432635,bfa_2020,NA
soum,critical_handwashing_times,retour_champ,0.1153721352016691,bfa_2020,NA
sourou,critical_handwashing_times,retour_champ,0.3340868563408418,bfa_2020,NA
tapoa,critical_handwashing_times,retour_champ,0.5000226723542872,bfa_2020,NA
tuy,critical_handwashing_times,retour_champ,0.43402607341181726,bfa_2020,NA
yagha,critical_handwashing_times,retour_champ,0.3166361565558984,bfa_2020,NA
yatenga,critical_handwashing_times,retour_champ,0.31416754756563176,bfa_2020,NA
ziro,critical_handwashing_times,retour_champ,0.28583071041772956,bfa_2020,NA
zondoma,critical_handwashing_times,retour_champ,0.5236009839970185,bfa_2020,NA
zoundweogo,critical_handwashing_times,retour_champ,0.25185726232599726,bfa_2020,NA
bale,critical_handwashing_times,avant_sein,0.0346657812205295,bfa_2020,NA
bam,critical_handwashing_times,avant_sein,0.13510353782527318,bfa_2020,NA
banwa,critical_handwashing_times,avant_sein,0.02545248029500287,bfa_2020,NA
bazega,critical_handwashing_times,avant_sein,0.02957003282261872,bfa_2020,NA
bougouriba,critical_handwashing_times,avant_sein,0.027471914583725048,bfa_2020,NA
boulgou,critical_handwashing_times,avant_sein,0.10248655913912993,bfa_2020,NA
boulkiemde,critical_handwashing_times,avant_sein,0.046434800189854186,bfa_2020,NA
comoe,critical_handwashing_times,avant_sein,0.02105446151216427,bfa_2020,NA
ganzourgou,critical_handwashing_times,avant_sein,0.010281929990542327,bfa_2020,NA
gnagna,critical_handwashing_times,avant_sein,0.14801641426542533,bfa_2020,NA
gourma,critical_handwashing_times,avant_sein,0.11610086140218362,bfa_2020,NA
houet,critical_handwashing_times,avant_sein,0.043056185502857676,bfa_2020,NA
ioba,critical_handwashing_times,avant_sein,0.025012620693394258,bfa_2020,NA
