admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
bale,33,0,0,0,2,148,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,1.5,129.5,0,0,0,0,0.5949636328479422,44.02730883074772,0,0,0,0,0.44622272463595664,38.52389522690426,0
bale,34,0,0,0,0,127,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,1,137.5,0,0,0,0,0,37.78019068584433,0,0,0,0,0.2974818164239711,40.90374975829602,0
bale,35,0,0,0,0,127,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,127,0,0,0,0,0,37.78019068584433,0,0,0,0,0,37.78019068584433,0
bale,36,0,0,0,0,150,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,138.5,0,0,0,0,0,44.622272463595664,0,0,0,0,0,41.20123157471999,0
bale,37,0,0,0,0,202,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,176,0,0,0,0,0,60.091326917642164,0,0,0,0,0,52.35679969061891,0
bam,1,0,0,0,0,85,1,211038,187515,398553,464454,65901,0.016630696165795496,NA,NA,NA,NA,NA,NA,0,0,0,0,18.301058877736008,0.21530657503218834,NA,NA,NA,NA,NA,NA
bam,2,0,0,0,0,95,6,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,90,3.5,0,0,0,0,20.45412462805789,1.2918394501931298,0,0,0,0,19.37759175289695,0.7535730126126592
bam,3,0,0,0,1,83,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0.5,89,3,0,0,0,0.21530657503218834,17.870445727671633,0,0,0,0,0.10765328751609417,19.16228517786476,0.6459197250965649
bam,4,0,0,0,0,78,6,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0.5,80.5,3,0,0,0,0,16.79391285251069,1.2918394501931298,0,0,0,0.10765328751609417,17.33217929009116,0.6459197250965649
bam,5,0,0,0,0,73,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,75.5,3,0,0,0,0,15.717379977349749,0,0,0,0,0,16.25564641493022,0.6459197250965649
bam,6,0,0,0,0,73,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,73,0,0,0,0,0,15.717379977349749,0,0,0,0,0,15.717379977349749,0
bam,7,0,0,0,0,55,3,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,64,1.5,0,0,0,0,11.841861626770358,0.6459197250965649,0,0,0,0,13.779620802060053,0.32295986254828246
bam,8,0,0,0,0,54,2,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,54.5,2.5,0,0,0,0,11.626555051738169,0.43061315006437667,0,0,0,0,11.734208339254264,0.5382664375804709
bam,9,0,0,0,0,59,1,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,56.5,1.5,0,0,0,0,12.703087926899112,0.21530657503218834,0,0,0,0,12.16482148931864,0.32295986254828246
bam,10,0,0,0,0,53,1,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,56,1,0,0,0,0,11.411248476705982,0.21530657503218834,0,0,0,0,12.057168201802547,0.21530657503218834
